Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Poços de Caldas,MG,167397,5.46,1.0,8,99.28,0.0,3.41,5,0.779,4.0,77.86383551084165
Botucatu,SP,146497,4.25,1.0,8,92.97,0.0,4.01,5,0.8,4.0,77.80567892170875
Maringá,PR,423666,10.42,1.0,8,97.74,0.0,3.02,5,0.808,4.0,77.66170843441053
Sorocaba,SP,679378,13.64,4.0,5,94.34,0.0,2.87,3,0.798,4.0,77.29077648193237
Blumenau,SC,357199,9.31,5.0,6,80.43,0.0,1.73,0,0.806,4.0,76.9260000751031
Guarulhos,SP,1379182,15.11,1.0,9,90.28,0.0,3.85,5,0.763,4.0,76.20549618869268
Santos,SP,433311,5.99,1.0,5,98.28,0.0,2.16,5,0.84,4.0,75.85829068406306
Rio de Janeiro,RJ,6718903,25.82,1.0,9,91.61,0.0,2.75,5,0.799,4.0,75.67448664846219
Ribeirão Preto,SP,703293,12.31,1.0,6,98.52,0.0,2.98,5,0.8,4.0,75.06169275940827
São Bernardo do Campo,SP,838936,4.74,1.0,5,94.23,0.0,2.94,5,0.805,4.0,74.75691788329291
São Carlos,SP,251983,15.18,1.0,6,97.57,0.0,3.39,5,0.805,4.0,74.60450930669779
Santa Rosa,RS,73254,8.28,1.0,6,93.88,0.0,3.38,5,0.769,4.0,74.4457302567932
São Caetano do Sul,SP,161127,5.67,1.0,3,99.9,0.0,1.47,5,0.862,4.0,74.42004536294371
Alfenas,MG,79996,8.84,1.0,6,98.42,0.0,5.66,5,0.761,4.0,74.40022310918057
Limeira,SP,306114,6.03,1.0,6,99.12,0.0,4.01,4,0.775,4.0,74.3851132844928
Taubaté,SP,314924,18.02,1.0,6,98.33,0.0,2.83,5,0.8,4.0,74.20688976856904
São Paulo,SP,12252023,10.14,1.0,5,96.37,0.0,3.12,5,0.805,4.0,74.15134905230241
Bauru,SP,376818,8.66,1.0,6,82.68,0.0,3.0,5,0.801,4.0,74.00328958713553
São José dos Campos,SP,721944,12.36,1.0,5,95.91,0.0,2.88,5,0.807,4.0,73.84417114448551
Balneário Camboriú,SC,142295,7.59,1.0,5,98.33,0.0,1.28,3,0.845,4.0,73.83274524535909
Uberlândia,MG,691305,18.52,1.0,6,96.86,0.0,3.65,5,0.789,4.0,73.64510146984827
Americana,SP,239597,9.93,1.0,5,98.35,0.0,2.64,4,0.811,4.0,73.57269740468884
Guaxupé,MG,51917,5.76,1.0,5,97.25,0.0,6.11,5,0.751,4.0,73.35459227771285
Santo André,SP,718773,10.1,1.0,5,95.62,0.0,2.88,4,0.815,4.0,73.33168987802352
Matão,SP,83170,3.66,1.0,4,99.14,0.0,5.58,5,0.773,4.0,73.30325793008632
Varginha,MG,135558,6.0,1.0,5,98.69,0.0,4.23,4,0.778,4.0,73.27814670735559
Olímpia,SP,54772,3.72,1.0,4,98.09,0.0,4.87,5,0.773,4.0,73.26363966071716
Nova Lima,MG,94889,15.37,1.0,5,92.25,0.0,2.93,5,0.813,4.0,73.14994158257018
São João da Boa Vista,SP,91211,2.23,1.0,3,98.74,0.0,3.75,5,0.797,4.0,73.10323520803391
Caxias do Sul,RS,510906,32.76,1.0,8,90.37,0.0,2.3,5,0.782,4.0,73.0671580993575
Ribeirão Pires,SP,123393,9.08,1.0,5,88.74,0.0,3.23,5,0.784,4.0,73.04270362629761
São José do Rio Preto,SP,460671,9.18,1.0,4,95.96,0.0,3.01,5,0.797,4.0,72.97313660284867
Rio Claro,SP,206424,18.86,1.0,5,96.08,0.0,3.3,5,0.803,4.0,72.75659193258221
Santa Bárbara d'Oeste,SP,193475,10.99,1.0,5,99.21,0.0,3.87,4,0.781,4.0,72.69379679843696
Santana de Parnaíba,SP,139447,3.87,1.0,4,91.57,0.0,4.12,4,0.814,4.0,72.57784772763934
Vinhedo,SP,78728,1.35,1.0,3,95.71,0.0,2.79,4,0.817,4.0,72.4784542374935
Araras,SP,134236,11.53,1.0,4,99.24,0.0,4.38,5,0.781,4.0,72.44996997137125
Mauá,SP,472912,7.21,1.0,5,94.1,0.0,3.9,4,0.766,4.0,72.39283584450887
Araraquara,SP,236072,10.06,1.0,3,98.69,0.0,3.31,5,0.815,4.0,72.38342742236799
Cotia,SP,249210,9.41,1.0,6,83.04,0.0,4.2,4,0.78,4.0,72.32534036535263
Florianópolis,SC,500973,17.16,1.0,5,87.9,0.0,1.93,4,0.847,4.0,72.31134805488274
Diadema,SP,423884,13.73,1.0,5,93.96,0.0,4.12,5,0.757,4.0,72.17956415754766
